publisher	title	卷	潮州歌叙录	wikicommons_file	digital_transcription
潮州義安路李萬利	古板新造本朝一世報	1~5	001	CADAL13030334_古板新造本朝一世報（卷一至卷五）.djvu	https://web.archive.org/web/20080917161834/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-1.htm
	新造八仙圖		002		
	新造八寶金鐘		003		
潮州義安路李萬利	古板新造八寶金鍾全歌（下集）	1~5	004	CADAL13030347_古板新造八寶金鍾全歌（下集）（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造八寶金鍾全歌（下集）	6~10	004	CADAL13030348_古板新造八寶金鍾全歌（下集）（卷六至卷十）.djvu	
	新造十二寡婦征西番		005		
潮州義安路李萬利	古板新造三合奇巧奇緣全歌	1~3	006	CADAL13030464_古板新造三合奇巧奇緣全歌（卷一至卷三）.djvu	https://zh.wikisource.org/wiki/古板新造三合奇巧奇緣全歌
潮州義安路李萬利	古板新造三國劉皇叔招親全歌	1~4	007	CADAL13030362_古板新造三國劉皇叔招親全歌（卷一至卷四）.djvu	
	新造三國劉皇叔招親下全歌		008		
潮州義安路李萬利	古板新造三國劉皇叔取東川全歌	1~4	009	CADAL13030299_古板新造三國劉皇叔取東川全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造三國劉皇叔取東川全歌	5~8	009	CADAL13030300_古板新造三國劉皇叔取東川全歌（卷五至卷八）.djvu	
潮州義安路李萬利	古板新造小英雄羅通掃北全歌	1~4	010	CADAL13030364_古板新造小英雄羅通掃北全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造小紅袍黃元豹	1~4	011	CADAL13030430_古板新造小紅袍黃元豹（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造上海殺子報	1~3	012	CADAL13030677_古板新造上海殺子報（卷一至卷三）.djvu	https://zh.wikisource.org/wiki/古板新造上海殺子報
潮州義安路李萬利	古板新造白蓮花全歌	1~4	013	CADAL13030384_古板新造白蓮花全歌（卷一至卷四）.djvu	https://zh.wikisource.org/wiki/Index:CADAL13030384_古板新造白蓮花全歌（卷一至卷四）.djvu
潮州義安路李萬利	古板新造白蓮花全歌	5~7	013	CADAL13030385_古板新造白蓮花全歌（卷五至卷七）.djvu	https://zh.wikisource.org/wiki/Index:CADAL13030385_古板新造白蓮花全歌（卷五至卷七）.djvu
潮州李春記書坊	新造廣東案警富新書	5~8	014	CADAL13030958_新造廣東案警富新書（卷五至卷八）.djvu	
